group,model,det_f1_precision,det_f1_recall,det_f1_f_measure,seg_iou_jaccard_index,det_auc_ap_auroc,det_auc_ap_average_precision,seg_auc_ap_auroc,seg_auc_ap_average_precision
detection_only,0,0.875,0.5833333134651184,0.699999988079071,0.19256477057933807,0.9130550622940063,0.6724840998649597,0.9184991717338562,0.5992782711982727
detection_only,1,0.8301886916160583,0.6111111044883728,0.7039999961853027,0.2443738579750061,0.9483742713928223,0.710701584815979,0.9431084394454956,0.6256929039955139
detection_only,2,0.7066666483879089,0.7361111044883728,0.7210884094238281,0.36644086241722107,0.9464954137802124,0.7086709141731262,0.9223362803459167,0.5667009353637695
detection_only,3,0.7966101765632629,0.6527777910232544,0.7175572514533997,0.33572834730148315,0.9229259490966797,0.6703096032142639,0.903874933719635,0.5412759184837341
detection_only,4,0.8113207817077637,0.5972222089767456,0.6880000233650208,0.2920900881290436,0.9412935972213745,0.6684420108795166,0.9258856177330017,0.5749021172523499
detection_only,5,0.8913043737411499,0.5694444179534912,0.694915235042572,0.2880842089653015,0.9412375092506409,0.679850697517395,0.9360449314117432,0.6328322887420654
detection_only,6,0.7428571581840515,0.7222222089767456,0.7323943376541138,0.39789214730262756,0.924832820892334,0.6709047555923462,0.9161890149116516,0.5698670148849487
detection_only,7,0.8181818127632141,0.625,0.7086614370346069,0.32170403003692627,0.9395269155502319,0.6682255864143372,0.919018566608429,0.5807571411132812
detection_only,8,0.8181818127632141,0.625,0.7086614370346069,0.3509443700313568,0.9386716485023499,0.6792479753494263,0.9047343730926514,0.6004838943481445
detection_only,9,0.7627118825912476,0.625,0.6870229244232178,0.21515540778636932,0.9532115459442139,0.6900523900985718,0.9379000067710876,0.5134662389755249
shared_bottleneck,0,0.7580645084381104,0.6527777910232544,0.7014925479888916,0.441457062959671,0.9451073408126831,0.694800615310669,0.9591884016990662,0.6964551210403442
shared_bottleneck,1,0.7246376872062683,0.6944444179534912,0.7092198729515076,0.4248715043067932,0.9320957064628601,0.6458920240402222,0.9588543772697449,0.6843748688697815
shared_bottleneck,2,0.698630154132843,0.7083333134651184,0.7034482955932617,0.3961677849292755,0.9495800733566284,0.7049487829208374,0.9602795839309692,0.7042606472969055
shared_bottleneck,3,0.8600000143051147,0.5972222089767456,0.7049180269241333,0.34759801626205444,0.9249309301376343,0.6742489337921143,0.9536828398704529,0.6876256465911865
shared_bottleneck,4,0.6625000238418579,0.7361111044883728,0.6973684430122375,0.45051369071006775,0.9443081021308899,0.6830331683158875,0.9549702405929565,0.6904633641242981
shared_bottleneck,5,0.7246376872062683,0.6944444179534912,0.7092198729515076,0.42319002747535706,0.9367086887359619,0.6735901832580566,0.9603444337844849,0.6930815577507019
shared_bottleneck,6,0.8103448152542114,0.6527777910232544,0.7230769395828247,0.41478481888771057,0.9427377581596375,0.6803755164146423,0.9597464799880981,0.6912421584129333
shared_bottleneck,7,0.7377049326896667,0.625,0.6766917109489441,0.4367774426937103,0.946467399597168,0.6825414299964905,0.9588478207588196,0.6808043122291565
shared_bottleneck,8,0.7042253613471985,0.6944444179534912,0.6993007063865662,0.43504762649536133,0.9315909743309021,0.6629403829574585,0.9591472148895264,0.6879205703735352
shared_bottleneck,9,0.7538461685180664,0.6805555820465088,0.7153284549713135,0.4234572947025299,0.9462430477142334,0.682567298412323,0.9616395235061646,0.6929799318313599
separate_bottleneck,0,0.739130437374115,0.7083333134651184,0.7234042286872864,0.43041887879371643,0.9321938753128052,0.6617870330810547,0.9605681300163269,0.6926636099815369
separate_bottleneck,1,0.7142857313156128,0.6944444179534912,0.7042253613471985,0.44701093435287476,0.9356710910797119,0.6840258240699768,0.952980637550354,0.6847053170204163
separate_bottleneck,2,0.7246376872062683,0.6944444179534912,0.7092198729515076,0.4048548936843872,0.9422891139984131,0.6929368376731873,0.9582764506340027,0.692669689655304
separate_bottleneck,3,0.7042253613471985,0.6944444179534912,0.6993007063865662,0.4478326737880707,0.944672703742981,0.678527295589447,0.9539399147033691,0.680131733417511
separate_bottleneck,4,0.7352941036224365,0.6944444179534912,0.7142857313156128,0.4272090196609497,0.9392464756965637,0.6701751351356506,0.9597371816635132,0.6868212223052979
separate_bottleneck,5,0.8070175647735596,0.6388888955116272,0.713178277015686,0.37939581274986267,0.9471964836120605,0.6723453998565674,0.9600346088409424,0.6824395656585693
separate_bottleneck,6,0.8070175647735596,0.6388888955116272,0.713178277015686,0.42555078864097595,0.9506456851959229,0.7093138694763184,0.963294506072998,0.7031962275505066
separate_bottleneck,7,0.6891891956329346,0.7083333134651184,0.698630154132843,0.40838348865509033,0.9439716339111328,0.6703346967697144,0.9565407633781433,0.6776837706565857
separate_bottleneck,8,0.7868852615356445,0.6666666865348816,0.7218044996261597,0.4419633448123932,0.9383071064949036,0.6983661651611328,0.9615251421928406,0.7049146294593811
separate_bottleneck,9,0.7222222089767456,0.7222222089767456,0.7222222089767456,0.40368416905403137,0.950575590133667,0.7011886239051819,0.9594531655311584,0.6961538791656494
