,group,metric,mean,lower,upper
0,detection_only,det_f1_precision,0.8053023338317871,0.7648642199890131,0.845740447674561
1,detection_only,det_f1_recall,0.63472221493721,0.5952432197388547,0.6742012101355653
2,detection_only,det_f1_f_measure,0.706230103969574,0.6957856509773506,0.7166745569617974
3,detection_only,seg_iou_jaccard_index,0.30049780905246737,0.25258287043024474,0.34841274767469
4,detection_only,det_auc_ap_auroc,0.9369624733924866,0.927890663938408,0.9460342828465652
5,detection_only,det_auc_ap_average_precision,0.6818889617919922,0.6703642751731518,0.6934136484108326
6,detection_only,seg_auc_ap_auroc,0.9227591335773468,0.913261015373287,0.9322572517814067
7,detection_only,seg_auc_ap_average_precision,0.5805256724357605,0.5545136294278544,0.6065377154436665
8,shared_bottleneck,det_f1_precision,0.7434591352939606,0.7026973291990459,0.7842209413888752
9,shared_bottleneck,det_f1_recall,0.6736111044883728,0.6438967086822184,0.7033255002945272
10,shared_bottleneck,det_f1_f_measure,0.7040064871311188,0.6951934395073902,0.7128195347548474
11,shared_bottleneck,seg_iou_jaccard_index,0.4193865269422531,0.39835573470170627,0.4404173191827999
12,shared_bottleneck,det_auc_ap_auroc,0.9399770021438598,0.9341565451860728,0.9457974591016468
13,shared_bottleneck,det_auc_ap_average_precision,0.6784938335418701,0.6668859551772764,0.6901017119064637
14,shared_bottleneck,seg_auc_ap_auroc,0.9586700916290283,0.9569098445000437,0.9604303387580129
15,shared_bottleneck,seg_auc_ap_average_precision,0.6909208178520203,0.6862551062578339,0.6955865294462067
16,separate_bottleneck,det_f1_precision,0.7429905116558075,0.7126505670794281,0.773330456232187
17,separate_bottleneck,det_f1_recall,0.6861110985279083,0.6655884010050148,0.7066337960508018
18,separate_bottleneck,det_f1_f_measure,0.7119449317455292,0.7054283829744011,0.7184614805166573
19,separate_bottleneck,seg_iou_jaccard_index,0.4216304004192352,0.40575833567750386,0.4375024651609666
20,separate_bottleneck,det_auc_ap_auroc,0.9424769759178162,0.9380700199656841,0.9468839318699483
21,separate_bottleneck,det_auc_ap_average_precision,0.6839000880718231,0.6725655521973415,0.6952346239463048
22,separate_bottleneck,seg_auc_ap_auroc,0.9586350500583649,0.9562965873472309,0.9609735127694989
23,separate_bottleneck,seg_auc_ap_average_precision,0.6901379644870758,0.683423682869244,0.6968522461049075
