Start,End
1667375749.5935936,1667375750.8162498
1667375753.6599998,1667375754.8904686
1667375757.3435936,1667375758.8787498
1576648029.2612185,1576648030.378406
1576648035.565906,1576648035.6010623
1576648036.1362185,1576648036.222156
1576648036.9526248,1576648036.9604373
1576648052.5854373,1576648053.6948123
1576648055.6869998,1576648056.519031
1576648152.8549685,1576648153.7768435
1576648153.7924685,1576648153.8041873
1576648158.6635623,1576648159.4487185
1576648163.9799685,1576648164.065906
1576648164.1987185,1576648164.2260623
1576648167.347156,1576648168.3823123
1576646406.8705935,1576646408.1010623
1576646408.9916873,1576646410.4291873
1576646414.6869998,1576646415.9760623
1576646422.1323123,1576646423.6479373
1576646425.1323123,1576646426.7260623
1576646429.2143435,1576646430.5541873
1576646433.0580935,1576646433.4760623
1576574198.987781,1576574200.190906
1576574210.9487185,1576574211.6088748
1576574218.0073123,1576574219.2299685
1576574222.0229373,1576574223.2260623
1576574225.4994998,1576574226.4994998
1576649139.472156,1576649140.394031
1576649142.300281,1576649143.300281
1576649147.7026248,1576649148.9330935
1576649151.6948123,1576649152.8862185
1576649162.519031,1576649163.6010623
1667367994.038906,1667367995.4021873
1667367997.7498436,1667367999.3865623
1667368000.257656,1667368002.554531
1667368006.5584373,1667368007.382656
1667375282.7771873,1667375283.2771873
1667375290.429531,1667375291.0349998
1667375292.4803123,1667375294.2342186
1667375306.4881248,1667375308.460781
1667380682.913906,1667380684.7068748
1667380686.6209373,1667380687.9529686
1667380691.2342186,1667380692.1209373
1667380693.6209373,1667380695.3435936
1576652797.7963748,1576652799.4955935
1576652804.6518435,1576652806.503406
1576652809.784656,1576652811.4018435
1576652815.206531,1576652816.3119998
1683263333.058125,1683263334.3354688
1683263337.5229688,1683263338.2885938
1683263339.76125,1683263340.4135938
1683263342.1010938,1683263342.9370313
1683263349.4878125,1683263350.0307813
1683263353.8120313,1683263354.8276563
1576667317.9330935,1576667319.2612185
1576667321.4330935,1576667323.2299685
1576667324.769031,1576667326.3432498
1576667326.9330935,1576667327.8744998
1576667338.5854373,1576667339.269031
1576568199.4448123,1576568200.4643435
1576568202.315906,1576568203.0932498
1576568204.4916873,1576568205.6323123
1576568213.3901248,1576568214.7416873
1576568220.6674685,1576568221.7573123
1576568225.6244998,1576568226.5932498
1667386596.4646873,1667386597.117031
1667386598.1560936,1667386599.179531
1667386603.6092186,1667386604.8162498
1667386607.601406,1667386608.9881248
1667386620.6834373,1667386621.5623436
1576646712.5424685,1576646714.315906
1576646716.5151248,1576646718.0268435
1576646719.6987185,1576646721.0424685
1576646734.1010623,1576646734.8276248
1576646735.6674685,1576646736.4994998
1576650253.409656,1576650254.4291873
1576650256.0463748,1576650257.3666873
1576650259.1987185,1576650261.1205935
1576650263.6166873,1576650264.425281
1576650264.6323123,1576650264.9291873
1576578462.6088748,1576578463.3354373
1576578465.8979373,1576578467.315906
1576578469.4330935,1576578470.690906
1576578475.7455935,1576578477.0854373
1576578480.2455935,1576578481.3393435
1576578484.8588748,1576578485.5541873
1576654061.706531,1576654062.7104373
1576654065.456531,1576654066.1166873
1576654070.4643435,1576654071.6244998
1576654078.7494998,1576654079.4760623
1576567239.112781,1576567240.3119998
1576567247.3588748,1576567248.831531
1576567251.0307498,1576567251.8080935
1576567255.3080935,1576567256.4760623
1576567259.2104373,1576567260.5932498
1576567263.9135623,1576567265.065906
1667368804.1678123,1667368805.1912498
1667368807.3748436,1667368808.1365623
1667368808.1443748,1667368808.1599998
1667368821.1053123,1667368821.8787498
